Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,TrackTemp,AirTemp,Humidity
0 days 00:47:47.945000,ALO,14,0 days 00:02:27.774000,11.0,3.0,,,0 days 00:00:42.824000,0 days 00:01:09.624000,0 days 00:00:35.326000,0 days 00:46:02.995000,0 days 00:47:12.619000,0 days 00:47:47.945000,264.0,108.0,207.0,187.0,False,SOFT,2.0,True,Aston Martin,0 days 00:45:20.171000,2026-07-17 15:32:00.487,1,,,,False,True,FP2,33.8,24.5,40.5
0 days 00:49:39.363000,ALO,14,0 days 00:01:51.418000,12.0,3.0,,,0 days 00:00:32.190000,0 days 00:00:49.677000,0 days 00:00:29.551000,0 days 00:48:20.135000,0 days 00:49:09.812000,0 days 00:49:39.363000,277.0,210.0,200.0,294.0,True,SOFT,3.0,True,Aston Martin,0 days 00:47:47.945000,2026-07-17 15:34:28.261,1,,,,False,True,FP2,32.8,24.5,39.6
0 days 00:52:29.239000,ALO,14,,13.0,3.0,,,0 days 00:00:48.503000,0 days 00:01:24.600000,0 days 00:00:36.793000,0 days 00:50:27.887000,0 days 00:51:52.626000,0 days 00:52:29.239000,180.0,111.0,207.0,167.0,False,SOFT,4.0,True,Aston Martin,0 days 00:49:39.363000,2026-07-17 15:36:19.679,1,,,,False,False,FP2,32.1,24.4,40.5
0 days 00:54:20.770000,ALO,14,0 days 00:01:51.531000,14.0,3.0,,,0 days 00:00:31.930000,0 days 00:00:49.930000,0 days 00:00:29.671000,0 days 00:53:01.169000,0 days 00:53:51.099000,0 days 00:54:20.770000,285.0,206.0,195.0,297.0,False,SOFT,5.0,True,Aston Martin,0 days 00:52:29.239000,2026-07-17 15:39:09.555,1,,,,False,True,FP2,30.7,24.7,39.6
0 days 00:58:27.835000,ALO,14,,15.0,3.0,,0 days 00:58:21.080000,0 days 00:00:59.074000,,0 days 00:01:23.451000,0 days 00:55:19.980000,,0 days 00:58:27.835000,94.0,107.0,,193.0,False,SOFT,6.0,True,Aston Martin,0 days 00:54:20.770000,2026-07-17 15:41:01.086,12,,,,False,False,FP2,31.3,24.7,39.9
0 days 01:13:45.028000,ALO,14,,16.0,4.0,0 days 01:11:44.012000,,,0 days 00:00:54.144000,0 days 00:00:33.139000,,0 days 01:13:11.999000,0 days 01:13:45.068000,288.0,187.0,189.0,274.0,False,SOFT,7.0,False,Aston Martin,0 days 01:11:44.012000,2026-07-17 15:58:24.328,1,,,,False,False,FP2,32.4,24.3,38.0
0 days 01:15:59.941000,ALO,14,0 days 00:02:14.913000,17.0,4.0,,,0 days 00:00:34.567000,0 days 00:00:55.359000,0 days 00:00:44.987000,0 days 01:14:19.595000,0 days 01:15:14.954000,0 days 01:15:59.941000,285.0,166.0,60.0,271.0,False,SOFT,8.0,False,Aston Martin,0 days 01:13:45.028000,2026-07-17 16:00:25.344,1,,,,False,True,FP2,32.2,24.3,38.3
0 days 01:18:39.235000,ALO,14,,18.0,4.0,,,0 days 00:01:02.083000,0 days 00:00:54.716000,0 days 00:00:42.464000,0 days 01:17:02.139000,0 days 01:17:56.771000,0 days 01:18:39.407000,290.0,190.0,48.0,286.0,False,SOFT,9.0,False,Aston Martin,0 days 01:15:59.941000,2026-07-17 16:02:40.257,1,,,,False,False,FP2,32.0,24.3,38.0
0 days 01:21:33.838000,ALO,14,,19.0,4.0,,0 days 01:21:03.133000,0 days 00:00:57.887000,0 days 00:00:52.109000,0 days 00:01:04.512000,0 days 01:19:37.217000,0 days 01:20:29.360000,0 days 01:21:34.037000,289.0,194.0,,292.0,False,SOFT,10.0,False,Aston Martin,0 days 01:18:39.235000,2026-07-17 16:05:19.551,1,,,,False,False,FP2,32.0,24.3,37.6
0 days 00:16:21.166000,LEC,16,,1.0,1.0,0 days 00:14:01.117000,,,0 days 00:00:56.944000,0 days 00:00:37.496000,,0 days 00:15:43.911000,0 days 00:16:21.316000,272.0,175.0,219.0,216.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:14:01.117000,2026-07-17 15:00:41.433,1,,,,False,False,FP2,33.7,22.8,50.3
0 days 00:18:08.746000,LEC,16,0 days 00:01:47.580000,2.0,1.0,,,0 days 00:00:31.058000,0 days 00:00:47.589000,0 days 00:00:28.933000,0 days 00:16:52.224000,0 days 00:17:39.813000,0 days 00:18:08.746000,302.0,212.0,202.0,302.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:16:21.166000,2026-07-17 15:03:01.482,1,,,,False,True,FP2,34.6,22.9,48.3
0 days 00:21:18.409000,LEC,16,,3.0,1.0,,,0 days 00:01:02.686000,0 days 00:01:31.713000,0 days 00:00:35.198000,0 days 00:19:11.697000,0 days 00:20:43.390000,0 days 00:21:18.409000,138.0,102.0,219.0,132.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:18:08.746000,2026-07-17 15:04:49.062,1,,,,False,False,FP2,35.1,23.1,49.0
