Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Session
ANT,12,92.099,10.0,3.0,24.664,27.804,39.631,281.0,275.0,266.0,336.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:35:14.221000,1,SQ
ANT,12,125.358,11.0,3.0,31.845,40.4,53.113,210.0,196.0,110.0,279.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:36:46.320000,1,SQ
ANT,12,131.044,12.0,3.0,43.375,38.269,49.4,226.0,224.0,267.0,279.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:38:51.678000,1,SQ
ANT,12,91.475,13.0,3.0,24.488,27.522,39.465,282.0,277.0,270.0,335.0,True,MEDIUM,6.0,True,Mercedes,0 days 00:41:02.722000,1,SQ
ANT,12,91.738,16.0,4.0,24.582,27.652,39.504,281.0,278.0,271.0,336.0,True,SOFT,2.0,True,Mercedes,0 days 00:50:52.456000,1,SQ
BEA,87,93.298,2.0,1.0,24.831,28.129,40.338,281.0,273.0,266.0,331.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:15:41.711000,1,SQ
BEA,87,92.269,5.0,2.0,24.768,27.645,39.856,280.0,275.0,266.0,330.0,True,MEDIUM,5.0,False,Haas F1 Team,0 days 00:23:47.047000,1,SQ
BEA,87,91.978,8.0,3.0,24.538,27.522,39.918,282.0,274.0,263.0,329.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:40:20.630000,1,SQ
STR,18,92.961,2.0,1.0,24.589,28.021,40.351,280.0,274.0,268.0,330.0,True,MEDIUM,2.0,True,Aston Martin,0 days 00:17:19.921000,1,SQ
STR,18,122.635,3.0,1.0,31.654,39.03,51.951,244.0,234.0,231.0,299.0,False,MEDIUM,3.0,True,Aston Martin,0 days 00:18:52.882000,1,SQ
STR,18,129.199,4.0,1.0,33.704,42.893,52.602,172.0,234.0,270.0,309.0,False,MEDIUM,4.0,True,Aston Martin,0 days 00:20:55.517000,1,SQ
STR,18,92.327,5.0,1.0,24.369,27.902,40.056,280.0,274.0,270.0,331.0,True,MEDIUM,5.0,True,Aston Martin,0 days 00:23:04.716000,1,SQ
STR,18,91.742,8.0,2.0,24.39,27.499,39.853,280.0,275.0,267.0,331.0,True,MEDIUM,2.0,True,Aston Martin,0 days 00:39:55.221000,1,SQ
STR,18,91.982,11.0,3.0,24.231,27.771,39.98,280.0,275.0,268.0,330.0,True,SOFT,6.0,False,Aston Martin,0 days 00:54:29.913000,1,SQ
OCO,31,93.774,2.0,1.0,25.112,28.048,40.614,278.0,274.0,265.0,325.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:15:57.464000,1,SQ
OCO,31,92.651,5.0,2.0,24.702,27.798,40.151,279.0,275.0,265.0,329.0,True,MEDIUM,5.0,False,Haas F1 Team,0 days 00:24:17.994000,1,SQ
GAS,10,92.955,2.0,1.0,24.8,27.979,40.176,278.0,274.0,267.0,332.0,True,MEDIUM,2.0,True,Alpine,0 days 00:15:21.944000,1,SQ
GAS,10,125.882,3.0,1.0,39.753,35.569,50.56,188.0,240.0,238.0,275.0,False,MEDIUM,3.0,True,Alpine,0 days 00:16:54.899000,1,SQ
GAS,10,128.404,4.0,1.0,37.628,36.689,54.087,251.0,250.0,267.0,309.0,False,MEDIUM,4.0,True,Alpine,0 days 00:19:00.781000,1,SQ
GAS,10,92.64,5.0,1.0,24.918,27.828,39.894,279.0,275.0,268.0,330.0,True,MEDIUM,5.0,True,Alpine,0 days 00:21:09.185000,1,SQ
SAI,55,93.271,2.0,1.0,24.96,28.027,40.284,280.0,275.0,264.0,333.0,True,MEDIUM,2.0,True,Williams,0 days 00:16:34.095000,1,SQ
SAI,55,92.457,5.0,2.0,24.601,27.883,39.973,280.0,274.0,270.0,334.0,True,MEDIUM,5.0,False,Williams,0 days 00:22:49.440000,1,SQ
SAI,55,113.069,8.0,3.0,31.77,32.254,49.045,272.0,267.0,269.0,309.0,True,MEDIUM,2.0,True,Williams,0 days 00:38:35.706000,1,SQ
SAI,55,92.325,9.0,3.0,24.615,27.668,40.042,281.0,276.0,262.0,332.0,True,MEDIUM,3.0,True,Williams,0 days 00:40:28.775000,1,SQ
